N.º;Fecha;Contenido de agua (m³/m³);Radiación solar (W/m²);Temperatura (°C);Humedad (%);Viento (m/s);Viento ráf. (m/s);Dir. viento (°);Precipitación (mm)
24;2025-01-24;0.14;764.6;26.6;65.0;5.39;9.45;159.5;0
25;2025-01-25;0.132;858.7;27.0;67.7;5.49;9.78;333.5;0
26;2025-01-26;0.132;803.8;26.8;68.7;6.23;11.16;95.5;0
27;2025-01-27;0.134;934.5;26.0;68.9;4.8;7.36;258.6;0
28;2025-01-28;0.118;708.8;28.5;64.7;5.5;8.53;181.0;0
29;2025-01-29;0.126;778.3;29.6;74.4;5.75;8.95;243.1;0
30;2025-01-30;0.111;825.2;28.3;68.1;4.89;7.58;188.2;0
31;2025-01-31;0.111;748.9;28.2;72.6;6.3;10.1;108.0;0
32;2025-02-01;0.128;745.8;30.3;75.0;6.5;8.83;336.0;0.06
33;2025-02-02;0.151;810.5;29.0;63.0;7.27;11.79;220.2;0
34;2025-02-03;0.118;831.2;27.8;63.6;6.4;8.12;38.5;0.17
35;2025-02-04;0.078;740.0;27.7;69.0;5.47;8.65;95.0;0
36;2025-02-05;0.123;782.7;28.2;67.6;5.99;9.96;229.4;0
37;2025-02-06;0.142;740.7;27.9;61.2;6.05;7.53;317.9;0
38;2025-02-07;0.134;731.4;26.9;63.5;6.48;11.27;286.6;0
39;2025-02-08;0.098;748.3;28.8;63.8;6.37;10.63;318.3;0
40;2025-02-09;0.116;697.0;29.2;70.4;7.44;12.86;8.9;0
41;2025-02-10;0.124;786.9;26.3;71.0;4.49;7.57;96.1;0
42;2025-02-11;0.101;715.2;27.3;66.3;6.36;8.8;286.3;0
43;2025-02-12;0.109;691.6;29.0;65.3;7.41;13.19;100.5;0
44;2025-02-13;0.157;716.2;26.8;58.1;7.59;9.92;346.5;0
45;2025-02-14;0.102;741.2;29.2;67.0;5.31;8.3;184.1;0
46;2025-02-15;0.11;744.8;29.3;65.0;6.89;11.24;267.1;0
47;2025-02-16;0.118;720.6;27.6;65.9;5.39;7.48;305.3;0
48;2025-02-17;0.132;781.4;26.8;62.4;5.88;8.54;338.5;0
49;2025-02-18;0.098;724.4;29.7;62.6;6.96;8.35;103.3;0
50;2025-02-19;0.144;762.4;28.8;61.8;6.2;10.79;286.6;0
51;2025-02-20;0.115;711.8;29.6;66.8;5.46;9.23;270.4;0
52;2025-02-21;0.128;755.1;27.1;67.2;4.46;5.55;149.2;0
53;2025-02-22;0.122;703.4;28.8;69.4;6.02;9.59;2.0;0
54;2025-02-23;0.121;882.7;25.4;68.4;5.74;7.75;305.4;0.06
55;2025-02-24;0.097;828.7;28.7;60.8;5.92;10.48;320.9;0
56;2025-02-25;0.102;682.1;26.4;66.8;7.05;10.47;93.3;0
57;2025-02-26;0.118;664.7;26.3;61.1;5.85;7.98;27.9;0
58;2025-02-27;0.152;740.0;29.2;63.4;6.14;9.97;23.1;0
59;2025-02-28;0.108;765.0;26.5;64.2;6.8;11.85;210.3;0
60;2025-03-01;0.15;750.9;26.2;62.8;5.0;8.56;343.2;0
61;2025-03-02;0.141;712.7;29.0;59.2;5.46;7.27;156.9;0
62;2025-03-03;0.125;766.8;29.2;61.5;5.39;8.48;9.7;0
63;2025-03-04;0.113;726.2;28.7;62.7;5.46;8.06;18.1;0
64;2025-03-05;0.085;688.0;29.7;63.2;5.82;7.86;29.5;0
65;2025-03-06;0.136;684.4;30.4;63.0;4.67;7.43;271.5;0.08
66;2025-03-07;0.118;809.9;28.7;66.1;5.28;8.55;276.1;0.02
67;2025-03-08;0.14;829.9;27.1;59.9;6.78;12.06;38.9;0
68;2025-03-09;0.115;730.8;29.2;65.9;5.73;9.25;225.8;0
69;2025-03-10;0.106;870.1;30.2;59.7;7.38;12.32;125.0;0.15
70;2025-03-11;0.115;844.5;29.6;59.8;5.97;10.61;228.8;0
71;2025-03-12;0.101;730.6;28.6;59.9;3.74;5.09;291.0;0
72;2025-03-13;0.093;699.3;28.6;62.7;6.7;8.39;317.4;0
73;2025-03-14;0.132;735.9;27.0;63.9;5.93;10.14;65.5;0
74;2025-03-15;0.126;682.7;31.6;66.4;5.78;10.22;30.8;0
75;2025-03-16;0.135;714.9;26.5;63.4;4.73;7.07;285.5;0
76;2025-03-17;0.127;820.7;29.6;61.6;4.83;7.03;268.5;0
77;2025-03-18;0.09;746.2;28.7;60.7;6.21;8.17;43.0;0
78;2025-03-19;0.069;813.9;28.4;63.7;5.45;8.26;101.9;0
79;2025-03-20;0.094;820.1;29.1;64.9;5.89;8.04;350.7;0.02
80;2025-03-21;0.113;751.8;28.2;56.9;5.0;7.32;66.4;0.2
81;2025-03-22;0.138;725.1;26.2;63.8;5.98;9.43;19.3;0.28
82;2025-03-23;0.096;745.3;30.6;64.5;5.9;9.88;81.2;0
83;2025-03-24;0.098;862.7;27.5;64.0;3.93;5.44;223.6;0
84;2025-03-25;0.113;786.3;27.4;63.5;5.55;7.24;27.0;0
85;2025-03-26;0.106;756.9;28.0;61.6;7.04;11.42;163.5;0.06
86;2025-03-27;0.115;684.0;25.9;59.9;6.57;10.03;233.1;0
87;2025-03-28;0.121;772.4;29.3;62.0;6.39;10.54;204.9;0
88;2025-03-29;0.123;610.1;29.8;60.8;4.87;6.08;14.3;0
89;2025-03-30;0.198;875.3;28.5;65.0;6.91;11.76;207.1;0
90;2025-03-31;0.101;763.5;27.2;62.9;5.84;9.29;329.8;0
91;2025-04-01;0.178;736.0;28.3;67.4;4.4;6.16;241.2;0.88
92;2025-04-02;0.144;836.9;28.5;68.3;4.39;6.47;113.2;0
93;2025-04-03;0.156;518.5;31.0;69.4;3.78;6.03;195.3;0
94;2025-04-04;0.154;612.4;30.0;70.2;4.03;6.16;334.0;0
95;2025-04-05;0.143;777.5;29.3;68.6;3.82;5.13;57.0;0
96;2025-04-06;0.193;622.8;28.9;72.9;5.12;7.68;258.0;4.86
97;2025-04-07;0.188;740.9;29.1;75.6;3.93;6.02;138.1;0
98;2025-04-08;0.147;660.0;28.7;71.6;4.21;7.41;182.8;0
99;2025-04-09;0.149;507.2;29.2;72.5;2.47;3.69;53.5;0
100;2025-04-10;0.179;678.6;29.2;66.8;3.77;6.1;205.8;0
101;2025-04-11;0.191;654.1;31.9;71.3;2.6;3.72;238.9;1.49
102;2025-04-12;0.145;712.8;25.7;73.4;2.64;4.55;158.5;0
103;2025-04-13;0.185;622.5;27.2;71.3;4.63;5.98;169.0;0
104;2025-04-14;0.135;601.7;29.2;66.5;4.95;7.07;114.0;0
105;2025-04-15;0.2;718.4;29.7;63.9;4.07;6.43;331.5;0
106;2025-04-16;0.152;745.7;29.5;73.5;4.6;7.44;325.2;0
107;2025-04-17;0.171;728.8;29.1;72.8;4.78;7.36;285.3;1.59
108;2025-04-18;0.161;666.0;30.0;68.4;4.38;6.47;91.4;0
109;2025-04-19;0.152;769.9;32.2;70.3;3.3;4.27;159.0;0
110;2025-04-20;0.156;717.3;31.1;68.0;4.3;6.15;174.0;0
111;2025-04-21;0.139;643.2;25.3;65.7;6.12;9.76;98.8;0.85
112;2025-04-22;0.168;721.3;28.6;73.9;2.27;3.11;287.6;0
113;2025-04-23;0.182;631.0;28.2;73.4;3.17;5.18;237.3;0
114;2025-04-24;0.177;655.4;27.7;68.4;3.02;4.95;32.4;0
115;2025-04-25;0.199;746.8;29.5;68.1;4.74;8.45;191.1;0
116;2025-04-26;0.136;635.1;28.0;71.6;4.46;6.26;41.5;0
117;2025-04-27;0.174;757.9;32.0;76.0;3.01;5.38;348.2;0
118;2025-04-28;0.176;702.9;28.2;73.7;2.85;4.57;210.4;0
119;2025-04-29;0.179;697.8;30.2;69.5;4.18;7.23;202.1;0
120;2025-04-30;0.173;655.1;29.0;72.1;3.63;6.42;109.6;1.74
121;2025-05-01;0.273;641.6;31.6;81.6;3.66;5.86;267.5;0
122;2025-05-02;0.267;649.5;28.5;79.8;3.75;5.42;342.5;0
123;2025-05-03;0.272;604.6;25.6;80.6;2.71;4.37;196.0;1.31
124;2025-05-04;0.262;674.3;28.8;82.2;1.87;2.96;215.0;0.6
125;2025-05-05;0.262;542.4;29.0;79.6;2.88;4.78;74.6;4.38
126;2025-05-06;0.245;592.0;32.0;78.2;3.28;4.19;90.2;0.45
127;2025-05-07;0.285;584.6;29.3;78.1;2.43;3.39;62.7;3.07
128;2025-05-08;0.23;530.0;29.8;77.9;3.17;4.01;181.4;0
129;2025-05-09;0.275;647.1;31.5;79.4;2.28;3.36;347.0;0
130;2025-05-10;0.257;580.0;29.6;71.4;3.29;5.15;23.6;3.28
131;2025-05-11;0.279;649.2;27.7;77.2;2.97;4.37;218.0;2.84
132;2025-05-12;0.24;514.8;30.4;75.0;2.9;4.27;82.3;0
133;2025-05-13;0.26;505.0;28.4;78.7;3.53;5.03;55.0;1.71
134;2025-05-14;0.217;613.2;28.7;79.1;2.9;4.45;211.1;0
135;2025-05-15;0.244;544.4;28.6;79.3;3.94;6.5;312.5;0
136;2025-05-16;0.282;661.5;25.1;75.7;3.27;4.36;39.0;0
137;2025-05-17;0.265;500.9;27.3;81.8;2.35;4.01;350.8;0
138;2025-05-18;0.24;620.9;27.1;84.8;3.3;4.32;253.0;0
139;2025-05-19;0.286;533.2;32.0;78.2;2.67;3.43;227.9;1.18
140;2025-05-20;0.219;634.4;29.5;76.4;2.75;4.24;30.6;1.54
141;2025-05-21;0.249;582.1;27.3;75.0;4.17;6.22;159.1;0.49
142;2025-05-22;0.256;673.9;31.5;77.1;1.82;2.23;142.3;1.59
143;2025-05-23;0.287;606.1;30.3;78.1;3.42;4.63;118.1;0
144;2025-05-24;0.222;519.6;29.1;77.0;3.72;4.62;310.2;1.36
145;2025-05-25;0.257;528.2;31.6;75.2;2.52;4.1;150.4;0.05
146;2025-05-26;0.249;485.0;29.2;73.8;3.3;5.63;87.6;4.58
147;2025-05-27;0.244;578.0;27.5;77.5;3.68;5.15;60.5;0
148;2025-05-28;0.217;567.2;29.0;80.3;2.79;4.71;85.1;0
149;2025-05-29;0.255;572.3;27.0;75.0;2.59;4.31;177.9;0.62
150;2025-05-30;0.233;562.7;26.5;81.4;2.26;3.88;225.8;0
151;2025-05-31;0.247;593.5;27.8;78.9;3.27;4.92;111.7;0.2
152;2025-06-01;0.208;680.6;29.7;81.3;4.18;6.29;166.6;0
153;2025-06-02;0.219;521.1;30.3;69.8;3.95;6.28;115.7;0
154;2025-06-03;0.207;590.4;29.6;78.2;3.29;4.29;89.2;0.25
155;2025-06-04;0.216;656.4;27.8;77.4;4.15;5.68;147.2;0
156;2025-06-05;0.247;607.3;31.2;75.3;4.5;6.17;260.5;0
157;2025-06-06;0.26;585.3;32.0;72.6;4.42;5.68;125.9;0
158;2025-06-07;0.248;545.4;29.0;70.1;3.22;5.39;292.7;0
159;2025-06-08;0.218;596.0;30.7;71.7;2.6;4.13;152.4;0
160;2025-06-09;0.241;598.2;30.6;79.3;3.56;4.44;304.0;0.56
161;2025-06-10;0.221;650.3;31.1;70.6;3.67;6.09;47.2;3.44
162;2025-06-11;0.249;516.8;30.1;76.7;3.93;5.68;243.5;0
163;2025-06-12;0.193;543.7;29.0;80.9;3.81;5.28;291.1;1.37
164;2025-06-13;0.299;563.6;30.1;89.3;3.34;5.07;347.9;6.86
165;2025-06-14;0.261;625.0;29.8;74.4;4.65;8.02;199.6;0
166;2025-06-15;0.273;724.4;31.2;74.9;3.25;4.19;157.5;0
167;2025-06-16;0.236;616.8;29.8;79.2;3.65;4.5;180.7;0
168;2025-06-17;0.201;576.1;34.3;81.2;2.67;3.42;103.3;0.07
169;2025-06-18;0.229;606.9;29.2;74.5;2.66;3.2;28.5;0
170;2025-06-19;0.241;552.3;32.3;75.5;4.01;5.54;17.2;0
171;2025-06-20;0.215;724.9;30.0;72.8;4.61;7.18;5.9;0
172;2025-06-21;0.245;585.1;29.4;74.3;2.48;3.1;350.9;1.31
173;2025-06-22;0.245;554.8;25.0;75.6;3.23;4.79;228.8;1.74
174;2025-06-23;0.205;676.7;29.4;73.3;2.55;4.18;119.7;3.63
175;2025-06-24;0.233;622.5;29.9;74.3;2.62;4.24;227.4;1.84
176;2025-06-25;0.234;638.1;29.0;73.6;4.01;4.91;336.0;0
177;2025-06-26;0.238;622.9;31.4;75.7;4.84;6.36;128.5;0
178;2025-06-27;0.188;715.4;26.5;71.7;3.43;4.91;350.5;0.31
179;2025-06-28;0.2;518.0;26.1;76.1;3.33;5.45;28.4;0
180;2025-06-29;0.215;647.1;27.8;75.5;3.14;4.9;153.4;0
181;2025-06-30;0.278;663.3;29.2;76.7;2.96;5.32;98.8;0
182;2025-07-01;0.154;728.8;29.5;68.5;3.65;4.69;218.7;1.69
183;2025-07-02;0.175;670.9;30.5;72.2;3.75;5.36;204.2;0
184;2025-07-03;0.188;734.1;28.6;68.5;3.62;5.21;233.8;0
185;2025-07-04;0.135;600.7;29.8;68.5;5.17;7.02;93.7;0.2
186;2025-07-05;0.181;629.3;31.7;70.5;5.03;8.75;160.2;4.14
187;2025-07-06;0.217;632.8;30.7;69.8;4.74;7.23;320.9;1.91
188;2025-07-07;0.198;579.6;28.1;68.5;4.09;5.4;50.0;0
189;2025-07-08;0.213;587.1;31.9;72.6;5.56;8.51;220.3;0
190;2025-07-09;0.162;588.8;30.7;71.3;4.68;5.82;350.1;0
191;2025-07-10;0.22;591.9;27.8;73.4;5.86;9.78;230.3;0
192;2025-07-11;0.207;649.9;33.6;72.9;4.83;6.27;116.2;0
193;2025-07-12;0.189;752.4;28.0;77.9;3.55;4.79;228.6;0
194;2025-07-13;0.194;650.0;29.8;70.2;4.93;7.86;259.4;1.27
195;2025-07-14;0.173;667.3;31.1;68.8;4.33;5.31;230.9;0
196;2025-07-15;0.199;703.6;29.0;68.3;3.38;4.64;344.4;0
197;2025-07-16;0.185;653.9;30.8;67.7;4.8;5.93;158.3;0
198;2025-07-17;0.159;748.9;30.1;70.2;4.34;7.75;47.1;0
199;2025-07-18;0.194;614.4;28.8;71.0;4.63;6.24;34.9;0
200;2025-07-19;0.214;780.8;31.4;72.1;4.88;7.55;112.6;0
201;2025-07-20;0.146;609.2;28.2;72.0;4.51;5.47;340.3;0
202;2025-07-21;0.179;676.8;29.9;75.3;5.36;7.95;193.2;0.73
203;2025-07-22;0.187;646.4;27.2;74.6;3.15;4.47;144.2;0
204;2025-07-23;0.182;692.4;29.6;75.2;4.56;8.18;244.9;0
205;2025-07-24;0.225;536.2;27.9;85.3;6.1;10.08;71.7;6.15
206;2025-07-25;0.206;717.7;29.9;70.3;3.45;5.21;118.1;0.25
207;2025-07-26;0.168;657.3;32.4;79.8;3.83;5.37;298.2;0
208;2025-07-27;0.195;704.3;29.5;69.0;5.55;9.31;261.1;2.82
209;2025-07-28;0.194;763.3;31.7;72.6;4.21;7.01;207.9;0
210;2025-07-29;0.223;568.9;28.0;67.8;5.22;6.36;341.4;1.65
211;2025-07-30;0.221;638.0;29.7;73.6;3.73;6.21;331.4;0.03
212;2025-07-31;0.178;710.0;28.2;72.7;3.99;5.54;62.3;0.25
213;2025-08-01;0.267;584.6;29.7;82.3;1.73;2.74;249.6;0
214;2025-08-02;0.293;708.9;29.9;81.3;2.81;3.72;253.8;2.72
215;2025-08-03;0.314;555.5;32.9;77.8;3.4;5.46;136.7;1.43
216;2025-08-04;0.308;524.6;30.2;80.8;2.7;3.8;159.3;0
217;2025-08-05;0.264;638.6;31.1;83.6;2.5;3.21;221.6;2.17
218;2025-08-06;0.284;554.9;29.9;75.8;3.78;6.16;36.2;0
219;2025-08-07;0.264;626.8;32.4;80.1;2.65;4.67;316.2;0
220;2025-08-08;0.272;649.4;30.6;78.1;3.29;5.08;192.7;0
221;2025-08-09;0.297;627.7;33.6;77.4;4.47;5.84;331.1;0
222;2025-08-10;0.259;511.9;30.5;87.1;4.46;5.38;204.5;0
223;2025-08-11;0.314;395.3;29.5;98.8;2.75;4.85;306.4;13.58
224;2025-08-12;0.307;578.5;30.7;77.8;3.51;5.88;204.4;0.59
225;2025-08-13;0.271;661.1;31.8;85.3;2.1;3.17;31.2;0
226;2025-08-14;0.31;607.7;29.7;80.0;3.12;5.53;108.7;1.3
227;2025-08-15;0.258;563.9;32.7;80.3;2.73;3.47;110.5;0
228;2025-08-16;0.307;521.8;31.5;79.3;4.32;5.95;221.3;0
229;2025-08-17;0.248;518.6;31.9;84.1;2.49;3.81;169.5;0.48
230;2025-08-18;0.288;442.0;30.0;80.2;3.76;6.1;28.1;0.95
231;2025-08-19;0.267;493.2;32.2;81.4;2.96;3.82;118.1;0
232;2025-08-20;0.257;586.8;30.4;83.0;3.32;5.01;164.4;2.92
233;2025-08-21;0.295;467.2;31.3;75.5;3.9;6.43;208.2;2.07
234;2025-08-22;0.325;425.4;30.9;91.0;3.19;4.61;276.8;17.12
235;2025-08-23;0.293;405.9;32.6;79.4;4.21;6.02;313.1;0
236;2025-08-24;0.262;507.9;29.7;78.0;2.58;3.37;193.4;0
237;2025-08-25;0.253;584.3;30.4;77.9;3.0;4.14;242.5;0
238;2025-08-26;0.324;626.7;30.0;80.0;2.7;4.41;40.6;0
239;2025-08-27;0.304;579.4;28.3;82.5;2.91;3.85;36.3;0
240;2025-08-28;0.286;601.1;30.9;84.7;2.52;3.35;310.9;0
241;2025-08-29;0.27;546.6;29.8;85.4;2.3;3.59;242.1;2.34
242;2025-08-30;0.295;592.5;31.6;80.5;4.81;8.31;328.2;3.6
243;2025-08-31;0.268;712.3;28.9;81.6;2.67;4.28;282.9;0
244;2025-09-01;0.326;414.5;30.9;84.1;2.9;4.71;290.1;2.2
245;2025-09-02;0.313;469.9;25.9;81.0;2.35;3.16;73.2;0
246;2025-09-03;0.355;552.9;26.8;88.0;2.73;4.38;217.1;0
247;2025-09-04;0.315;487.7;30.5;88.7;1.49;2.22;313.0;0
248;2025-09-05;0.39;389.6;32.8;95.5;3.41;4.59;217.6;12.91
249;2025-09-06;0.367;353.7;27.0;92.3;3.17;4.49;94.2;11.51
250;2025-09-07;0.38;373.3;29.4;88.4;3.16;4.58;202.5;18.57
251;2025-09-08;0.312;439.2;29.3;91.0;2.1;2.71;118.8;0.74
252;2025-09-09;0.293;417.9;31.4;83.1;3.41;5.4;176.6;4.96
253;2025-09-10;0.395;307.4;30.7;98.2;2.63;4.01;231.1;7.39
254;2025-09-11;0.319;469.9;29.6;88.2;2.57;4.38;83.3;0
255;2025-09-12;0.317;441.8;31.3;84.2;3.29;5.26;221.9;0
256;2025-09-13;0.394;475.6;29.7;87.7;2.16;2.61;292.7;3.74
257;2025-09-14;0.304;521.1;30.6;77.8;2.72;3.51;69.1;0
258;2025-09-15;0.316;525.0;29.0;81.9;0.5;0.67;246.3;2.36
259;2025-09-16;0.343;501.6;27.8;79.1;2.15;3.07;199.0;0
260;2025-09-17;0.324;516.6;29.6;79.2;1.05;1.32;190.1;3.23
261;2025-09-18;0.361;472.8;31.6;79.4;2.54;3.16;333.2;1.11
262;2025-09-19;0.373;542.1;28.4;91.0;1.36;2.21;143.4;12.33
263;2025-09-20;0.378;395.3;29.7;89.7;3.59;5.02;272.0;0.83
264;2025-09-21;0.347;499.2;33.0;75.9;3.31;5.64;122.6;0
265;2025-09-22;0.321;502.2;30.9;83.2;2.31;3.15;357.3;0
266;2025-09-23;0.333;537.6;29.6;79.9;2.32;3.65;287.3;0
267;2025-09-24;0.342;479.7;30.3;84.9;1.4;2.3;114.0;0
268;2025-09-25;0.36;515.1;29.6;83.8;2.83;4.34;146.9;2.08
269;2025-09-26;0.377;457.0;31.2;86.2;3.2;4.4;139.6;2.04
270;2025-09-27;0.357;489.3;31.1;87.9;2.88;3.7;108.4;0
271;2025-09-28;0.321;473.6;28.1;85.3;2.53;3.42;88.8;0.31
272;2025-09-29;0.364;633.5;28.1;81.5;1.95;3.28;118.6;0.53
273;2025-09-30;0.37;471.5;32.1;87.7;3.03;5.36;72.3;7.89
274;2025-10-01;0.31;625.1;32.1;80.8;1.45;1.95;135.4;0
275;2025-10-02;0.262;461.7;27.9;82.9;2.08;3.18;245.4;0
276;2025-10-03;0.274;515.1;27.4;79.7;1.98;3.32;147.3;4.93
277;2025-10-04;0.289;480.7;28.6;86.4;1.12;1.39;356.7;4.01
278;2025-10-05;0.34;384.6;28.7;90.7;2.69;4.67;193.3;10.12
279;2025-10-06;0.338;504.9;30.7;84.6;1.87;2.97;15.9;0
280;2025-10-07;0.36;477.4;28.3;95.1;3.12;4.7;186.8;5.59
281;2025-10-08;0.306;455.7;27.0;80.5;3.37;5.23;180.2;0
282;2025-10-09;0.305;511.4;28.8;83.4;2.91;4.04;163.9;2.15
283;2025-10-10;0.338;497.3;26.9;82.5;1.84;2.54;291.7;2.64
284;2025-10-11;0.307;503.5;30.4;81.2;3.1;4.04;57.6;0
285;2025-10-12;0.336;504.0;29.6;81.4;2.79;4.42;155.6;0
286;2025-10-13;0.341;567.3;28.9;78.4;2.87;4.84;22.5;3.59
287;2025-10-14;0.341;424.8;29.0;94.5;2.66;4.57;190.0;8.22
288;2025-10-15;0.286;506.9;26.9;79.6;3.13;5.28;254.2;0
289;2025-10-16;0.288;543.0;29.2;82.8;2.96;3.88;249.6;3.81
290;2025-10-17;0.282;598.6;28.4;83.7;2.1;3.78;199.8;1.94
291;2025-10-18;0.329;584.3;27.9;85.0;2.75;3.32;49.2;0.6
292;2025-10-19;0.289;456.8;25.0;80.8;3.0;3.75;11.1;2.73
293;2025-10-20;0.311;500.3;28.2;84.3;2.39;3.52;267.3;0
294;2025-10-21;0.336;421.5;26.6;82.9;1.5;1.84;258.8;0.49
295;2025-10-22;0.291;584.0;29.2;81.9;1.33;1.83;359.8;0
296;2025-10-23;0.294;607.4;28.9;73.1;2.59;4.37;211.7;0
297;2025-10-24;0.299;522.2;27.9;80.7;2.92;3.87;21.4;4.96
298;2025-10-25;0.324;619.5;29.5;79.9;2.35;4.03;354.8;0
299;2025-10-26;0.337;565.6;31.7;86.3;0.75;1.35;312.1;0
300;2025-10-27;0.288;406.5;30.7;84.4;2.09;3.23;96.7;4.97
301;2025-10-28;0.275;576.7;26.4;77.4;3.03;4.14;337.1;2.41
302;2025-10-29;0.287;439.3;31.2;82.7;2.39;3.82;129.0;0.01
303;2025-10-30;0.286;522.5;28.8;85.1;3.11;5.28;121.6;3.06
304;2025-10-31;0.329;505.0;27.6;81.6;3.64;5.37;44.7;1.68
305;2025-11-01;0.223;663.9;27.4;78.0;2.86;4.61;47.5;0
306;2025-11-02;0.249;711.5;26.8;77.3;3.0;5.23;59.6;0
307;2025-11-03;0.219;633.7;26.7;82.4;4.16;6.75;0.4;0
308;2025-11-04;0.176;609.1;27.6;82.6;3.98;5.78;47.6;2.66
309;2025-11-05;0.23;568.0;27.4;76.6;4.52;5.8;278.4;1.13
310;2025-11-06;0.232;682.7;26.7;80.3;4.16;6.09;260.1;0
311;2025-11-07;0.23;578.8;28.4;80.5;1.54;1.93;36.2;0
312;2025-11-08;0.242;613.1;25.5;80.5;3.41;4.26;199.2;0
313;2025-11-09;0.206;582.5;25.5;74.7;1.55;2.47;108.6;0
314;2025-11-10;0.2;644.3;27.3;77.7;4.59;6.87;40.6;0
315;2025-11-11;0.247;799.9;26.0;76.0;2.67;4.7;47.5;0
316;2025-11-12;0.226;454.9;26.0;78.6;3.02;3.75;94.4;2.68
317;2025-11-13;0.252;574.9;27.9;74.5;2.32;3.36;252.7;0.15
318;2025-11-14;0.229;675.9;28.4;77.6;2.46;4.14;193.1;0
319;2025-11-15;0.234;615.7;25.6;73.7;2.73;4.42;262.8;0
320;2025-11-16;0.261;638.1;27.1;74.1;2.52;4.14;43.0;1.33
321;2025-11-17;0.235;694.8;27.2;76.3;2.72;4.54;259.5;0
322;2025-11-18;0.225;749.3;28.2;77.3;3.03;5.1;97.9;0
323;2025-11-19;0.22;547.3;27.0;77.4;3.21;4.81;204.1;2.91
324;2025-11-20;0.23;566.5;28.4;77.6;2.76;4.74;88.0;1.99
325;2025-11-21;0.229;732.5;26.9;79.1;2.34;3.58;329.0;0
326;2025-11-22;0.239;568.0;25.9;77.6;3.68;5.52;324.7;1.26
327;2025-11-23;0.218;655.4;31.2;77.1;3.38;4.63;304.1;3.81
328;2025-11-24;0.214;600.9;29.2;75.6;2.36;3.67;177.6;0.52
329;2025-11-25;0.232;628.0;28.6;84.1;2.4;2.89;147.6;0
330;2025-11-26;0.23;522.3;28.9;83.3;4.17;7.13;261.8;0
331;2025-11-27;0.268;800.9;27.6;81.5;4.0;6.51;33.5;1.76
332;2025-11-28;0.229;569.8;26.0;77.1;3.33;4.19;48.1;0
333;2025-11-29;0.216;482.9;29.2;79.8;3.82;5.13;94.0;0
334;2025-11-30;0.238;572.7;30.0;77.8;2.96;3.91;280.8;0
335;2025-12-01;0.156;654.4;27.5;71.5;4.67;7.11;347.3;0
336;2025-12-02;0.117;738.3;28.2;71.3;3.91;6.33;14.5;0
337;2025-12-03;0.148;714.9;26.7;71.2;5.25;7.92;243.8;0
338;2025-12-04;0.174;741.0;31.6;65.2;4.5;7.57;50.3;0.35
339;2025-12-05;0.138;730.7;27.8;69.8;3.81;6.01;232.1;1.18
340;2025-12-06;0.139;717.3;26.4;71.1;5.21;6.65;325.8;0
341;2025-12-07;0.148;679.0;26.8;70.8;4.62;7.13;295.8;0
342;2025-12-08;0.166;751.2;27.2;71.0;4.75;8.22;12.5;0
343;2025-12-09;0.16;649.7;27.0;72.5;5.03;6.22;100.7;0
344;2025-12-10;0.118;700.6;27.8;65.8;4.96;8.9;281.5;0
345;2025-12-11;0.146;774.8;25.3;69.0;4.01;5.75;64.7;0
346;2025-12-12;0.15;693.8;28.0;70.2;5.48;9.1;359.9;0
347;2025-12-13;0.166;702.8;28.8;72.6;5.96;10.43;20.1;0
348;2025-12-14;0.119;660.6;27.0;70.8;5.32;6.95;213.3;0
